,Fecha,Día,Temperatura Media
4701,Mar2018,21,-11.1
4702,Mar2018,22,-6.3
4703,Mar2018,23,-5.2
4704,Mar2018,24,-3.8
4705,Mar2018,25,-3.5
4706,Mar2018,26,-4.0
4707,Mar2018,27,-3.8
4708,Mar2018,28,-0.1
4709,Mar2018,29,-2.6
4710,Mar2018,30,-1.2
4711,Mar2018,31,-5.8
4712,Apr2018,01,-5.8
4713,Apr2018,02,1.3
4714,Apr2018,03,0.7
4715,Apr2018,04,0.8
4716,Apr2018,05,-1.7
4717,Apr2018,06,3.3
4718,Apr2018,07,4.8
4719,Apr2018,08,4.2
4720,Apr2018,09,1.8
4721,Apr2018,10,-0.2
4722,Apr2018,11,-0.2
4723,Apr2018,12,-0.3
4724,Apr2018,13,-0.5
4725,Apr2018,14,0
4726,Apr2018,15,3.1
4727,Apr2018,16,0
4728,Apr2018,17,0
4729,Apr2018,18,6.1
4730,Apr2018,19,0
4731,Apr2018,20,7.9
4732,Apr2018,21,7.8
4733,Apr2018,22,7.9
4734,Apr2018,23,6.1
4735,Apr2018,24,5.8
4736,Apr2018,25,6.7
4737,Apr2018,26,3.8
4738,Apr2018,27,6.5
4739,Apr2018,28,7.3
4740,Apr2018,29,5.8
4741,Apr2018,30,0.1
4742,Apr2018,31,0.1
4743,May2018,01,-0.4
4744,May2018,02,0.9
4745,May2018,03,2.4
4746,May2018,04,7.8
4747,May2018,05,7.8
4748,May2018,06,9.3
4749,May2018,07,5.8
4750,May2018,08,6.6
4751,May2018,09,5.3
4752,May2018,10,3.4
4753,May2018,11,6.2
4754,May2018,12,7.6
4755,May2018,13,4.8
4756,May2018,14,0
4757,May2018,15,1.9
4758,May2018,16,2.0
4759,May2018,17,3.6
4760,May2018,18,5.4
4761,May2018,19,4.6
4762,May2018,20,4.4
4763,May2018,21,0
4764,May2018,22,6.8
4765,May2018,23,5.8
4766,May2018,24,7.6
4767,May2018,25,9.8
4768,May2018,26,10.8
4769,May2018,27,11.6
4770,May2018,28,9.4
4771,May2018,29,8.2
4772,May2018,30,8.8
4773,May2018,31,8.8
4774,Jun2018,01,8.2
4775,Jun2018,02,10.0
4776,Jun2018,03,11.0
4777,Jun2018,04,9.9
4778,Jun2018,05,10.1
4779,Jun2018,06,9.7
4780,Jun2018,07,9.4
4781,Jun2018,08,9.1
4782,Jun2018,09,10.9
4783,Jun2018,10,12.5
4784,Jun2018,11,11.0
4785,Jun2018,12,7.6
4786,Jun2018,13,5.6
4787,Jun2018,14,6.7
4788,Jun2018,15,8.4
4789,Jun2018,16,9.5
4790,Jun2018,17,9.4
4791,Jun2018,18,9.7
4792,Jun2018,19,12.4
4793,Jun2018,20,13.8
4794,Jun2018,21,13.0
4795,Jun2018,22,8.5
4796,Jun2018,23,7.8
4797,Jun2018,24,8.0
4798,Jun2018,25,8.5
4799,Jun2018,26,10.0
4800,Jun2018,27,11.3
4801,Jun2018,28,10.3
4802,Jun2018,29,11.4
4803,Jun2018,30,14.0
4804,Jun2018,31,14.0
4805,Jul2018,01,16.1
4806,Jul2018,02,15.3
4807,Jul2018,03,11.2
4808,Jul2018,04,0
4809,Jul2018,05,0
4810,Jul2018,06,0
4811,Jul2018,07,0
4812,Jul2018,08,0
4813,Jul2018,09,0
4814,Jul2018,10,0
4815,Jul2018,11,0
4816,Jul2018,12,0
4817,Jul2018,13,0
4818,Jul2018,14,0
4819,Jul2018,15,0
4820,Jul2018,16,0
4821,Jul2018,17,0
4822,Jul2018,18,0
4823,Jul2018,19,0
4824,Jul2018,20,0
4825,Jul2018,21,0
4826,Jul2018,22,0
4827,Jul2018,23,0
4828,Jul2018,24,0
4829,Jul2018,25,0
4830,Jul2018,26,0
4831,Jul2018,27,0
4832,Jul2018,28,0
4833,Jul2018,29,0
4834,Jul2018,30,0
4836,Aug2018,01,0
4837,Aug2018,02,0
4838,Aug2018,03,0
4839,Aug2018,04,0
4840,Aug2018,05,0
